Serial,ElevationAngle,Azimuth
20240101064017,-0.12,115.81
20240101065017,1.94,117.84
20240101070017,3.98,119.87
20240101071017,5.99,121.9
20240101072017,7.99,123.92
20240101073017,9.96,125.95
20240101074017,11.91,127.98
20240101075017,13.83,130.01
20240101080017,15.73,132.04
20240101081017,17.59,134.06
20240101082017,19.41,136.09
20240101083017,21.2,138.12
20240101084017,22.95,140.15
20240101085017,24.66,142.18
20240101090017,26.32,144.2
20240101091017,27.93,146.23
20240101092017,29.49,148.26
20240101093017,30.99,150.29
20240101094017,32.42,152.32
20240101095017,33.79,154.34
20240101100017,35.08,156.37
20240101101017,36.3,158.4
20240101102017,37.43,160.43
20240101103017,38.47,162.46
20240101104017,39.42,164.49
20240101105017,40.26,166.51
20240101110017,41.0,168.54
20240101111017,41.63,170.57
20240101112017,42.15,172.6
20240101113017,42.55,174.63
20240101114017,42.82,176.65
20240101115017,42.97,178.68
20240101120017,42.99,180.71
20240101121017,42.89,182.74
20240101122017,42.67,184.77
20240101123017,42.32,186.79
20240101124017,41.85,188.82
20240101125017,41.27,190.85
20240101130017,40.57,192.88
20240101131017,39.77,194.91
20240101132017,38.86,196.93
20240101133017,37.86,198.96
20240101134017,36.76,200.99
20240101135017,35.58,203.02
20240101140017,34.32,205.05
20240101141017,32.98,207.07
20240101142017,31.57,209.1
20240101143017,30.1,211.13
20240101144017,28.56,213.16
20240101145017,26.97,215.19
20240101150017,25.33,217.22
20240101151017,23.64,219.24
20240101152017,21.91,221.27
20240101153017,20.13,223.3
20240101154017,18.32,225.33
20240101155017,16.47,227.36
20240101160017,14.59,229.38
20240101161017,12.68,231.41
20240101162017,10.75,233.44
20240101163017,8.78,235.47
20240101164017,6.79,237.5
20240101165017,4.79,239.52
20240101170017,2.76,241.55
20240101171017,0.71,243.58
20240102064017,-0.12,115.61
20240102065017,1.94,117.64
20240102070017,3.98,119.66
20240102071017,5.99,121.69
20240102072017,7.99,123.72
20240102073017,9.96,125.75
20240102074017,11.91,127.78
20240102075017,13.83,129.8
20240102080017,15.73,131.83
20240102081017,17.59,133.86
20240102082017,19.41,135.89
20240102083017,21.2,137.92
20240102084017,22.95,139.95
20240102085017,24.66,141.97
20240102090017,26.32,144.0
20240102091017,27.93,146.03
20240102092017,29.49,148.06
20240102093017,30.99,150.09
20240102094017,32.42,152.11
20240102095017,33.79,154.14
20240102100017,35.08,156.17
20240102101017,36.3,158.2
20240102102017,37.43,160.23
20240102103017,38.47,162.25
20240102104017,39.42,164.28
20240102105017,40.26,166.31
20240102110017,41.0,168.34
20240102111017,41.63,170.37
20240102112017,42.15,172.39
20240102113017,42.55,174.42
20240102114017,42.82,176.45
20240102115017,42.97,178.48
20240102120017,42.99,180.51
20240102121017,42.89,182.54
20240102122017,42.67,184.56
20240102123017,42.32,186.59
20240102124017,41.85,188.62
20240102125017,41.27,190.65
20240102130017,40.57,192.68
20240102131017,39.77,194.7
20240102132017,38.86,196.73
20240102133017,37.86,198.76
20240102134017,36.76,200.79
