Serial,ElevationAngle,Azimuth
20240101064004,-0.12,115.81
20240101065004,1.94,117.84
20240101070004,3.97,119.87
20240101071004,5.99,121.9
20240101072004,7.99,123.92
20240101073004,9.96,125.95
20240101074004,11.91,127.98
20240101075004,13.83,130.01
20240101080004,15.72,132.04
20240101081004,17.59,134.06
20240101082004,19.41,136.09
20240101083004,21.2,138.12
20240101084004,22.95,140.15
20240101085004,24.66,142.18
20240101090004,26.32,144.2
20240101091004,27.93,146.23
20240101092004,29.49,148.26
20240101093004,30.99,150.29
20240101094004,32.42,152.32
20240101095004,33.79,154.34
20240101100004,35.08,156.37
20240101101004,36.3,158.4
20240101102004,37.43,160.43
20240101103004,38.47,162.46
20240101104004,39.42,164.49
20240101105004,40.26,166.51
20240101110004,41.0,168.54
20240101111004,41.63,170.57
20240101112004,42.15,172.6
20240101113004,42.55,174.63
20240101114004,42.82,176.65
20240101115004,42.97,178.68
20240101120004,42.99,180.71
20240101121004,42.89,182.74
20240101122004,42.67,184.77
20240101123004,42.32,186.79
20240101124004,41.85,188.82
20240101125004,41.27,190.85
20240101130004,40.57,192.88
20240101131004,39.77,194.91
20240101132004,38.86,196.93
20240101133004,37.86,198.96
20240101134004,36.76,200.99
20240101135004,35.58,203.02
20240101140004,34.32,205.05
20240101141004,32.98,207.07
20240101142004,31.57,209.1
20240101143004,30.1,211.13
20240101144004,28.56,213.16
20240101145004,26.97,215.19
20240101150004,25.33,217.22
20240101151004,23.64,219.24
20240101152004,21.91,221.27
20240101153004,20.13,223.3
20240101154004,18.32,225.33
20240101155004,16.47,227.36
20240101160004,14.59,229.38
20240101161004,12.68,231.41
20240101162004,10.75,233.44
20240101163004,8.78,235.47
20240101164004,6.79,237.5
20240101165004,4.78,239.52
20240101170004,2.75,241.55
20240101171004,0.7,243.58
20240102064004,-0.12,115.61
20240102065004,1.94,117.64
20240102070004,3.97,119.66
20240102071004,5.99,121.69
20240102072004,7.99,123.72
20240102073004,9.96,125.75
20240102074004,11.91,127.78
20240102075004,13.83,129.8
20240102080004,15.72,131.83
20240102081004,17.59,133.86
20240102082004,19.41,135.89
20240102083004,21.2,137.92
20240102084004,22.95,139.95
20240102085004,24.66,141.97
20240102090004,26.32,144.0
20240102091004,27.93,146.03
20240102092004,29.49,148.06
20240102093004,30.99,150.09
20240102094004,32.42,152.11
20240102095004,33.79,154.14
20240102100004,35.08,156.17
20240102101004,36.3,158.2
20240102102004,37.43,160.23
20240102103004,38.47,162.25
20240102104004,39.42,164.28
20240102105004,40.26,166.31
20240102110004,41.0,168.34
20240102111004,41.63,170.37
20240102112004,42.15,172.39
20240102113004,42.55,174.42
20240102114004,42.82,176.45
20240102115004,42.97,178.48
20240102120004,42.99,180.51
20240102121004,42.89,182.54
20240102122004,42.67,184.56
20240102123004,42.32,186.59
20240102124004,41.85,188.62
20240102125004,41.27,190.65
20240102130004,40.57,192.68
20240102131004,39.77,194.7
20240102132004,38.86,196.73
20240102133004,37.86,198.76
20240102134004,36.76,200.79
20240102135004,35.58,202.82
20240102140004,34.32,204.84
20240102141004,32.98,206.87
20240102142004,31.57,208.9
20240102143004,30.1,210.93
20240102144004,28.56,212.96
20240102145004,26.97,214.98
20240102150004,25.33,217.01
20240102151004,23.64,219.04
20240102152004,21.91,221.07
20240102153004,20.13,223.1
20240102154004,18.32,225.12
20240102155004,16.47,227.15
20240102160004,14.59,229.18
20240102161004,12.68,231.21
20240102162004,10.75,233.24
20240102163004,8.78,235.27
20240102164004,6.79,237.29
20240102165004,4.78,239.32
20240102170004,2.75,241.35
20240102171004,0.7,243.38
20240103064004,-0.33,115.61
20240103065004,1.73,117.63
20240103070004,3.77,119.66
20240103071004,5.79,121.68
20240103072004,7.79,123.71
20240103073004,9.77,125.73
20240103074004,11.72,127.76
20240103075004,13.64,129.78
20240103080004,15.54,131.81
20240103081004,17.4,133.83
20240103082004,19.23,135.86
20240103083004,21.03,137.88
20240103084004,22.78,139.91
20240103085004,24.49,141.93
20240103090004,26.16,143.96
20240103091004,27.77,145.98
20240103092004,29.34,148.01
20240103093004,30.84,150.03
20240103094004,32.28,152.06
20240103095004,33.66,154.08
20240103100004,34.96,156.11
20240103101004,36.18,158.13
20240103102004,37.32,160.16
20240103103004,38.37,162.18
20240103104004,39.33,164.21
20240103105004,40.18,166.23
20240103110004,40.94,168.26
20240103111004,41.58,170.28
20240103112004,42.1,172.31
20240103113004,42.51,174.33
20240103114004,42.8,176.36
20240103115004,42.96,178.38
20240103120004,43.0,180.4
20240103121004,42.91,182.43
20240103122004,42.7,184.45
20240103123004,42.36,186.48
20240103124004,41.91,188.5
20240103125004,41.33,190.53
20240103130004,40.65,192.55
20240103131004,39.85,194.58
20240103132004,38.96,196.6
20240103133004,37.96,198.63
20240103134004,36.88,200.65
20240103135004,35.7,202.68
20240103140004,34.45,204.7
20240103141004,33.12,206.73
20240103142004,31.71,208.75
20240103143004,30.25,210.78
20240103144004,28.72,212.8
20240103145004,27.13,214.83
20240103150004,25.5,216.85
20240103151004,23.81,218.88
20240103152004,22.08,220.9
20240103153004,20.31,222.93
20240103154004,18.5,224.95
20240103155004,16.66,226.98
20240103160004,14.78,229.0
20240103161004,12.88,231.03
20240103162004,10.94,233.05
20240103163004,8.98,235.08
20240103164004,6.99,237.1
20240103165004,4.99,239.13
20240103170004,2.96,241.15
20240103171004,0.91,243.18
20240104064004,-0.33,115.61
20240104065004,1.73,117.63
20240104070004,3.77,119.66
20240104071004,5.79,121.68
20240104072004,7.79,123.71
20240104073004,9.77,125.73
20240104074004,11.72,127.76
20240104075004,13.64,129.78
20240104080004,15.54,131.81
20240104081004,17.4,133.83
20240104082004,19.23,135.86
20240104083004,21.03,137.88
20240104084004,22.78,139.91
20240104085004,24.49,141.93
20240104090004,26.16,143.96
20240104091004,27.77,145.98
20240104092004,29.34,148.01
20240104093004,30.84,150.03
20240104094004,32.28,152.06
20240104095004,33.66,154.08
20240104100004,34.96,156.11
20240104101004,36.18,158.13
20240104102004,37.32,160.16
20240104103004,38.37,162.18
20240104104004,39.33,164.21
20240104105004,40.18,166.23
20240104110004,40.94,168.26
20240104111004,41.58,170.28
20240104112004,42.1,172.31
20240104113004,42.51,174.33
20240104114004,42.8,176.36
20240104115004,42.96,178.38
20240104120004,43.0,180.4
20240104121004,42.91,182.43
20240104122004,42.7,184.45
20240104123004,42.36,186.48
20240104124004,41.91,188.5
20240104125004,41.33,190.53
20240104130004,40.65,192.55
20240104131004,39.85,194.58
20240104132004,38.96,196.6
20240104133004,37.96,198.63
20240104134004,36.88,200.65
20240104135004,35.7,202.68
20240104140004,34.45,204.7
20240104141004,33.12,206.73
20240104142004,31.71,208.75
20240104143004,30.25,210.78
20240104144004,28.72,212.8
20240104145004,27.13,214.83
20240104150004,25.5,216.85
20240104151004,23.81,218.88
20240104152004,22.08,220.9
20240104153004,20.31,222.93
20240104154004,18.5,224.95
20240104155004,16.66,226.98
20240104160004,14.78,229.0
20240104161004,12.88,231.03
20240104162004,10.94,233.05
20240104163004,8.98,235.08
20240104164004,6.99,237.1
20240104165004,4.99,239.13
20240104170004,2.96,241.15
20240104171004,0.91,243.18
20240105064004,-0.53,115.61
20240105065004,1.53,117.63
20240105070004,3.57,119.65
20240105071004,5.59,121.67
20240105072004,7.59,123.69
20240105073004,9.57,125.72
20240105074004,11.52,127.74
20240105075004,13.45,129.76
20240105080004,15.35,131.78
20240105081004,17.22,133.8
20240105082004,19.05,135.82
20240105083004,20.85,137.85
20240105084004,22.61,139.87
20240105085004,24.32,141.89
20240105090004,25.99,143.91
20240105091004,27.62,145.93
20240105092004,29.18,147.95
20240105093004,30.69,149.98
20240105094004,32.14,152.0
20240105095004,33.52,154.02
20240105100004,34.83,156.04
20240105101004,36.06,158.06
20240105102004,37.21,160.09
20240105103004,38.27,162.11
20240105104004,39.24,164.13
20240105105004,40.1,166.15
20240105110004,40.87,168.17
20240105111004,41.52,170.19
20240105112004,42.06,172.22
20240105113004,42.48,174.24
20240105114004,42.77,176.26
20240105115004,42.95,178.28
20240105120004,43.0,180.3
20240105121004,42.92,182.33
20240105122004,42.72,184.35
20240105123004,42.4,186.37
20240105124004,41.96,188.39
20240105125004,41.4,190.41
20240105130004,40.72,192.43
20240105131004,39.94,194.46
20240105132004,39.05,196.48
20240105133004,38.07,198.5
20240105134004,36.99,200.52
20240105135004,35.82,202.54
20240105140004,34.58,204.56
20240105141004,33.25,206.59
20240105142004,31.86,208.61
20240105143004,30.4,210.63
20240105144004,28.87,212.65
