Serial,ElevationAngle,Azimuth
20240101064009,-0.12,115.81
20240101065009,1.94,117.84
20240101070009,3.97,119.87
20240101071009,5.99,121.9
20240101072009,7.99,123.92
20240101073009,9.96,125.95
20240101074009,11.91,127.98
20240101075009,13.83,130.01
20240101080009,15.72,132.04
20240101081009,17.59,134.06
20240101082009,19.41,136.09
20240101083009,21.2,138.12
20240101084009,22.95,140.15
20240101085009,24.66,142.18
20240101090009,26.32,144.2
20240101091009,27.93,146.23
20240101092009,29.49,148.26
20240101093009,30.99,150.29
20240101094009,32.42,152.32
20240101095009,33.79,154.34
20240101100009,35.08,156.37
20240101101009,36.3,158.4
20240101102009,37.43,160.43
20240101103009,38.47,162.46
20240101104009,39.42,164.49
20240101105009,40.26,166.51
20240101110009,41.0,168.54
20240101111009,41.63,170.57
20240101112009,42.15,172.6
20240101113009,42.55,174.63
20240101114009,42.82,176.65
20240101115009,42.97,178.68
20240101120009,42.99,180.71
20240101121009,42.89,182.74
20240101122009,42.67,184.77
20240101123009,42.32,186.79
20240101124009,41.85,188.82
20240101125009,41.27,190.85
20240101130009,40.57,192.88
20240101131009,39.77,194.91
20240101132009,38.86,196.93
20240101133009,37.86,198.96
20240101134009,36.76,200.99
20240101135009,35.58,203.02
20240101140009,34.32,205.05
20240101141009,32.98,207.07
20240101142009,31.57,209.1
20240101143009,30.1,211.13
20240101144009,28.56,213.16
20240101145009,26.97,215.19
20240101150009,25.33,217.22
20240101151009,23.64,219.24
20240101152009,21.91,221.27
20240101153009,20.13,223.3
20240101154009,18.32,225.33
20240101155009,16.47,227.36
20240101160009,14.59,229.38
20240101161009,12.68,231.41
20240101162009,10.75,233.44
20240101163009,8.78,235.47
20240101164009,6.79,237.5
20240101165009,4.78,239.52
20240101170009,2.75,241.55
20240101171009,0.7,243.58
20240102064009,-0.12,115.61
20240102065009,1.94,117.64
20240102070009,3.97,119.66
20240102071009,5.99,121.69
20240102072009,7.99,123.72
20240102073009,9.96,125.75
20240102074009,11.91,127.78
20240102075009,13.83,129.8
20240102080009,15.72,131.83
20240102081009,17.59,133.86
20240102082009,19.41,135.89
20240102083009,21.2,137.92
20240102084009,22.95,139.95
20240102085009,24.66,141.97
20240102090009,26.32,144.0
20240102091009,27.93,146.03
20240102092009,29.49,148.06
20240102093009,30.99,150.09
20240102094009,32.42,152.11
20240102095009,33.79,154.14
20240102100009,35.08,156.17
20240102101009,36.3,158.2
20240102102009,37.43,160.23
20240102103009,38.47,162.25
20240102104009,39.42,164.28
20240102105009,40.26,166.31
20240102110009,41.0,168.34
20240102111009,41.63,170.37
20240102112009,42.15,172.39
20240102113009,42.55,174.42
20240102114009,42.82,176.45
20240102115009,42.97,178.48
20240102120009,42.99,180.51
20240102121009,42.89,182.54
20240102122009,42.67,184.56
20240102123009,42.32,186.59
20240102124009,41.85,188.62
20240102125009,41.27,190.65
20240102130009,40.57,192.68
20240102131009,39.77,194.7
20240102132009,38.86,196.73
20240102133009,37.86,198.76
20240102134009,36.76,200.79
20240102135009,35.58,202.82
20240102140009,34.32,204.84
20240102141009,32.98,206.87
20240102142009,31.57,208.9
20240102143009,30.1,210.93
20240102144009,28.56,212.96
20240102145009,26.97,214.98
20240102150009,25.33,217.01
20240102151009,23.64,219.04
20240102152009,21.91,221.07
20240102153009,20.13,223.1
20240102154009,18.32,225.12
20240102155009,16.47,227.15
20240102160009,14.59,229.18
20240102161009,12.68,231.21
20240102162009,10.75,233.24
20240102163009,8.78,235.27
20240102164009,6.79,237.29
20240102165009,4.78,239.32
20240102170009,2.75,241.35
20240102171009,0.7,243.38
20240103064009,-0.33,115.61
20240103065009,1.73,117.63
20240103070009,3.77,119.66
20240103071009,5.79,121.68
20240103072009,7.79,123.71
20240103073009,9.77,125.73
20240103074009,11.72,127.76
20240103075009,13.64,129.78
20240103080009,15.54,131.81
20240103081009,17.4,133.83
20240103082009,19.23,135.86
20240103083009,21.03,137.88
20240103084009,22.78,139.91
20240103085009,24.49,141.93
20240103090009,26.16,143.96
20240103091009,27.77,145.98
20240103092009,29.34,148.01
20240103093009,30.84,150.03
20240103094009,32.28,152.06
20240103095009,33.66,154.08
20240103100009,34.96,156.11
20240103101009,36.18,158.13
20240103102009,37.32,160.16
20240103103009,38.37,162.18
20240103104009,39.33,164.21
20240103105009,40.18,166.23
20240103110009,40.94,168.26
20240103111009,41.58,170.28
20240103112009,42.1,172.31
20240103113009,42.51,174.33
20240103114009,42.8,176.36
20240103115009,42.96,178.38
20240103120009,43.0,180.4
20240103121009,42.91,182.43
20240103122009,42.7,184.45
20240103123009,42.36,186.48
20240103124009,41.91,188.5
20240103125009,41.33,190.53
20240103130009,40.65,192.55
20240103131009,39.85,194.58
20240103132009,38.96,196.6
20240103133009,37.96,198.63
20240103134009,36.88,200.65
20240103135009,35.7,202.68
20240103140009,34.45,204.7
20240103141009,33.12,206.73
20240103142009,31.71,208.75
20240103143009,30.25,210.78
20240103144009,28.72,212.8
20240103145009,27.13,214.83
20240103150009,25.5,216.85
20240103151009,23.81,218.88
20240103152009,22.08,220.9
20240103153009,20.31,222.93
20240103154009,18.5,224.95
20240103155009,16.66,226.98
20240103160009,14.78,229.0
20240103161009,12.88,231.03
20240103162009,10.94,233.05
20240103163009,8.98,235.08
20240103164009,6.99,237.1
20240103165009,4.99,239.13
20240103170009,2.96,241.15
20240103171009,0.91,243.18
20240104064009,-0.33,115.61
20240104065009,1.73,117.63
20240104070009,3.77,119.66
20240104071009,5.79,121.68
20240104072009,7.79,123.71
20240104073009,9.77,125.73
20240104074009,11.72,127.76
20240104075009,13.64,129.78
20240104080009,15.54,131.81
20240104081009,17.4,133.83
20240104082009,19.23,135.86
20240104083009,21.03,137.88
20240104084009,22.78,139.91
20240104085009,24.49,141.93
20240104090009,26.16,143.96
20240104091009,27.77,145.98
20240104092009,29.34,148.01
20240104093009,30.84,150.03
20240104094009,32.28,152.06
20240104095009,33.66,154.08
20240104100009,34.96,156.11
20240104101009,36.18,158.13
20240104102009,37.32,160.16
20240104103009,38.37,162.18
20240104104009,39.33,164.21
20240104105009,40.18,166.23
20240104110009,40.94,168.26
20240104111009,41.58,170.28
20240104112009,42.1,172.31
20240104113009,42.51,174.33
20240104114009,42.8,176.36
20240104115009,42.96,178.38
20240104120009,43.0,180.4
20240104121009,42.91,182.43
20240104122009,42.7,184.45
20240104123009,42.36,186.48
20240104124009,41.91,188.5
20240104125009,41.33,190.53
20240104130009,40.65,192.55
20240104131009,39.85,194.58
20240104132009,38.96,196.6
20240104133009,37.96,198.63
20240104134009,36.88,200.65
20240104135009,35.7,202.68
20240104140009,34.45,204.7
20240104141009,33.12,206.73
20240104142009,31.71,208.75
20240104143009,30.25,210.78
20240104144009,28.72,212.8
20240104145009,27.13,214.83
20240104150009,25.5,216.85
20240104151009,23.81,218.88
20240104152009,22.08,220.9
20240104153009,20.31,222.93
20240104154009,18.5,224.95
20240104155009,16.66,226.98
20240104160009,14.78,229.0
20240104161009,12.88,231.03
20240104162009,10.94,233.05
20240104163009,8.98,235.08
20240104164009,6.99,237.1
20240104165009,4.99,239.13
20240104170009,2.96,241.15
20240104171009,0.91,243.18
20240105064009,-0.53,115.61
20240105065009,1.53,117.63
20240105070009,3.57,119.65
20240105071009,5.59,121.67
20240105072009,7.59,123.69
20240105073009,9.57,125.72
20240105074009,11.52,127.74
20240105075009,13.45,129.76
20240105080009,15.35,131.78
20240105081009,17.22,133.8
20240105082009,19.05,135.82
