Serial,ElevationAngle,Azimuth
20240101064012,-0.12,115.81
20240101065012,1.94,117.84
20240101070012,3.97,119.87
20240101071012,5.99,121.9
20240101072012,7.99,123.92
20240101073012,9.96,125.95
20240101074012,11.91,127.98
20240101075012,13.83,130.01
20240101080012,15.72,132.04
20240101081012,17.59,134.06
20240101082012,19.41,136.09
20240101083012,21.2,138.12
20240101084012,22.95,140.15
20240101085012,24.66,142.18
20240101090012,26.32,144.2
20240101091012,27.93,146.23
20240101092012,29.49,148.26
20240101093012,30.99,150.29
20240101094012,32.42,152.32
20240101095012,33.79,154.34
20240101100012,35.08,156.37
20240101101012,36.3,158.4
20240101102012,37.43,160.43
20240101103012,38.47,162.46
20240101104012,39.42,164.49
20240101105012,40.26,166.51
20240101110012,41.0,168.54
20240101111012,41.63,170.57
20240101112012,42.15,172.6
20240101113012,42.55,174.63
20240101114012,42.82,176.65
20240101115012,42.97,178.68
20240101120012,42.99,180.71
20240101121012,42.89,182.74
20240101122012,42.67,184.77
20240101123012,42.32,186.79
20240101124012,41.85,188.82
20240101125012,41.27,190.85
20240101130012,40.57,192.88
20240101131012,39.77,194.91
20240101132012,38.86,196.93
20240101133012,37.86,198.96
20240101134012,36.76,200.99
20240101135012,35.58,203.02
20240101140012,34.32,205.05
20240101141012,32.98,207.07
20240101142012,31.57,209.1
20240101143012,30.1,211.13
20240101144012,28.56,213.16
20240101145012,26.97,215.19
20240101150012,25.33,217.22
20240101151012,23.64,219.24
20240101152012,21.91,221.27
20240101153012,20.13,223.3
20240101154012,18.32,225.33
20240101155012,16.47,227.36
20240101160012,14.59,229.38
20240101161012,12.68,231.41
20240101162012,10.75,233.44
20240101163012,8.78,235.47
20240101164012,6.79,237.5
20240101165012,4.78,239.52
20240101170012,2.75,241.55
20240101171012,0.7,243.58
20240102064012,-0.12,115.61
20240102065012,1.94,117.64
20240102070012,3.97,119.66
20240102071012,5.99,121.69
20240102072012,7.99,123.72
20240102073012,9.96,125.75
20240102074012,11.91,127.78
20240102075012,13.83,129.8
20240102080012,15.72,131.83
20240102081012,17.59,133.86
20240102082012,19.41,135.89
20240102083012,21.2,137.92
20240102084012,22.95,139.95
20240102085012,24.66,141.97
20240102090012,26.32,144.0
20240102091012,27.93,146.03
20240102092012,29.49,148.06
20240102093012,30.99,150.09
20240102094012,32.42,152.11
20240102095012,33.79,154.14
20240102100012,35.08,156.17
20240102101012,36.3,158.2
20240102102012,37.43,160.23
20240102103012,38.47,162.25
20240102104012,39.42,164.28
20240102105012,40.26,166.31
20240102110012,41.0,168.34
20240102111012,41.63,170.37
20240102112012,42.15,172.39
20240102113012,42.55,174.42
20240102114012,42.82,176.45
20240102115012,42.97,178.48
20240102120012,42.99,180.51
20240102121012,42.89,182.54
20240102122012,42.67,184.56
20240102123012,42.32,186.59
20240102124012,41.85,188.62
20240102125012,41.27,190.65
20240102130012,40.57,192.68
20240102131012,39.77,194.7
20240102132012,38.86,196.73
20240102133012,37.86,198.76
20240102134012,36.76,200.79
20240102135012,35.58,202.82
20240102140012,34.32,204.84
20240102141012,32.98,206.87
20240102142012,31.57,208.9
20240102143012,30.1,210.93
20240102144012,28.56,212.96
20240102145012,26.97,214.98
20240102150012,25.33,217.01
20240102151012,23.64,219.04
20240102152012,21.91,221.07
20240102153012,20.13,223.1
20240102154012,18.32,225.12
20240102155012,16.47,227.15
20240102160012,14.59,229.18
20240102161012,12.68,231.21
20240102162012,10.75,233.24
20240102163012,8.78,235.27
20240102164012,6.79,237.29
20240102165012,4.78,239.32
20240102170012,2.75,241.35
20240102171012,0.7,243.38
20240103064012,-0.33,115.61
20240103065012,1.73,117.63
20240103070012,3.77,119.66
20240103071012,5.79,121.68
20240103072012,7.79,123.71
20240103073012,9.77,125.73
20240103074012,11.72,127.76
20240103075012,13.64,129.78
20240103080012,15.54,131.81
20240103081012,17.4,133.83
20240103082012,19.23,135.86
20240103083012,21.03,137.88
20240103084012,22.78,139.91
20240103085012,24.49,141.93
20240103090012,26.16,143.96
20240103091012,27.77,145.98
20240103092012,29.34,148.01
20240103093012,30.84,150.03
20240103094012,32.28,152.06
20240103095012,33.66,154.08
20240103100012,34.96,156.11
20240103101012,36.18,158.13
20240103102012,37.32,160.16
20240103103012,38.37,162.18
20240103104012,39.33,164.21
20240103105012,40.18,166.23
20240103110012,40.94,168.26
20240103111012,41.58,170.28
20240103112012,42.1,172.31
20240103113012,42.51,174.33
20240103114012,42.8,176.36
20240103115012,42.96,178.38
20240103120012,43.0,180.4
20240103121012,42.91,182.43
20240103122012,42.7,184.45
20240103123012,42.36,186.48
20240103124012,41.91,188.5
20240103125012,41.33,190.53
20240103130012,40.65,192.55
20240103131012,39.85,194.58
20240103132012,38.96,196.6
20240103133012,37.96,198.63
20240103134012,36.88,200.65
20240103135012,35.7,202.68
20240103140012,34.45,204.7
20240103141012,33.12,206.73
20240103142012,31.71,208.75
20240103143012,30.25,210.78
20240103144012,28.72,212.8
20240103145012,27.13,214.83
20240103150012,25.5,216.85
20240103151012,23.81,218.88
20240103152012,22.08,220.9
20240103153012,20.31,222.93
20240103154012,18.5,224.95
20240103155012,16.66,226.98
20240103160012,14.78,229.0
20240103161012,12.88,231.03
20240103162012,10.94,233.05
20240103163012,8.98,235.08
20240103164012,6.99,237.1
20240103165012,4.99,239.13
20240103170012,2.96,241.15
20240103171012,0.91,243.18
20240104064012,-0.33,115.61
20240104065012,1.73,117.63
20240104070012,3.77,119.66
20240104071012,5.79,121.68
20240104072012,7.79,123.71
20240104073012,9.77,125.73
20240104074012,11.72,127.76
20240104075012,13.64,129.78
20240104080012,15.54,131.81
20240104081012,17.4,133.83
20240104082012,19.23,135.86
20240104083012,21.03,137.88
20240104084012,22.78,139.91
20240104085012,24.49,141.93
20240104090012,26.16,143.96
20240104091012,27.77,145.98
20240104092012,29.34,148.01
20240104093012,30.84,150.03
20240104094012,32.28,152.06
20240104095012,33.66,154.08
20240104100012,34.96,156.11
20240104101012,36.18,158.13
20240104102012,37.32,160.16
20240104103012,38.37,162.18
20240104104012,39.33,164.21
20240104105012,40.18,166.23
20240104110012,40.94,168.26
20240104111012,41.58,170.28
20240104112012,42.1,172.31
20240104113012,42.51,174.33
20240104114012,42.8,176.36
20240104115012,42.96,178.38
20240104120012,43.0,180.4
20240104121012,42.91,182.43
20240104122012,42.7,184.45
20240104123012,42.36,186.48
20240104124012,41.91,188.5
20240104125012,41.33,190.53
20240104130012,40.65,192.55
20240104131012,39.85,194.58
20240104132012,38.96,196.6
20240104133012,37.96,198.63
20240104134012,36.88,200.65
20240104135012,35.7,202.68
20240104140012,34.45,204.7
20240104141012,33.12,206.73
20240104142012,31.71,208.75
20240104143012,30.25,210.78
20240104144012,28.72,212.8
20240104145012,27.13,214.83
20240104150012,25.5,216.85
20240104151012,23.81,218.88
20240104152012,22.08,220.9
20240104153012,20.31,222.93
20240104154012,18.5,224.95
20240104155012,16.66,226.98
20240104160012,14.78,229.0
20240104161012,12.88,231.03
20240104162012,10.94,233.05
20240104163012,8.98,235.08
20240104164012,6.99,237.1
20240104165012,4.99,239.13
20240104170012,2.96,241.15
20240104171012,0.91,243.18
20240105064012,-0.53,115.61
20240105065012,1.53,117.63
20240105070012,3.57,119.65
20240105071012,5.59,121.67
20240105072012,7.59,123.69
20240105073012,9.57,125.72
20240105074012,11.52,127.74
20240105075012,13.45,129.76
20240105080012,15.35,131.78
20240105081012,17.22,133.8
20240105082012,19.05,135.82
20240105083012,20.85,137.85
20240105084012,22.61,139.87
20240105085012,24.32,141.89
20240105090012,25.99,143.91
20240105091012,27.62,145.93
20240105092012,29.18,147.95
20240105093012,30.69,149.98
20240105094012,32.14,152.0
20240105095012,33.52,154.02
20240105100012,34.83,156.04
20240105101012,36.06,158.06
20240105102012,37.21,160.09
20240105103012,38.27,162.11
20240105104012,39.24,164.13
20240105105012,40.1,166.15
20240105110012,40.87,168.17
20240105111012,41.52,170.19
20240105112012,42.06,172.22
20240105113012,42.48,174.24
20240105114012,42.77,176.26
20240105115012,42.95,178.28
20240105120012,43.0,180.3
20240105121012,42.92,182.33
20240105122012,42.72,184.35
20240105123012,42.4,186.37
20240105124012,41.96,188.39
20240105125012,41.4,190.41
20240105130012,40.72,192.43
20240105131012,39.94,194.46
20240105132012,39.05,196.48
20240105133012,38.07,198.5
20240105134012,36.99,200.52
20240105135012,35.82,202.54
20240105140012,34.58,204.56
20240105141012,33.25,206.59
20240105142012,31.86,208.61
20240105143012,30.4,210.63
20240105144012,28.87,212.65
20240105145012,27.3,214.67
20240105150012,25.66,216.7
20240105151012,23.98,218.72
20240105152012,22.26,220.74
20240105153012,20.49,222.76
20240105154012,18.69,224.78
20240105155012,16.85,226.8
20240105160012,14.97,228.83
20240105161012,13.07,230.85
20240105162012,11.13,232.87
20240105163012,9.18,234.89
20240105164012,7.19,236.91
20240105165012,5.19,238.93
20240105170012,3.16,240.96
20240105171012,1.12,242.98
20240105172012,-0.95,245.0
20240106064012,-0.53,114.41
20240106065012,1.53,116.46
20240106070012,3.57,118.52
20240106071012,5.59,120.57
20240106072012,7.59,122.62
20240106073012,9.57,124.67
20240106074012,11.52,126.73
20240106075012,13.45,128.78
20240106080012,15.35,130.83
20240106081012,17.22,132.89
20240106082012,19.05,134.94
20240106083012,20.85,136.99
20240106084012,22.61,139.05
20240106085012,24.32,141.1
20240106090012,25.99,143.15
20240106091012,27.62,145.2
20240106092012,29.18,147.26
20240106093012,30.69,149.31
20240106094012,32.14,151.36
20240106095012,33.52,153.42
20240106100012,34.83,155.47
20240106101012,36.06,157.52
20240106102012,37.21,159.57
20240106103012,38.27,161.63
20240106104012,39.24,163.68
20240106105012,40.1,165.73
20240106110012,40.87,167.79
20240106111012,41.52,169.84
20240106112012,42.06,171.89
20240106113012,42.48,173.94
20240106114012,42.77,176.0
20240106115012,42.95,178.05
20240106120012,43.0,180.1
20240106121012,42.92,182.16
20240106122012,42.72,184.21
20240106123012,42.4,186.26
20240106124012,41.96,188.31
20240106125012,41.4,190.37
20240106130012,40.72,192.42
20240106131012,39.94,194.47
20240106132012,39.05,196.53
20240106133012,38.07,198.58
20240106134012,36.99,200.63
20240106135012,35.82,202.68
20240106140012,34.58,204.74
20240106141012,33.25,206.79
20240106142012,31.86,208.84
20240106143012,30.4,210.9
20240106144012,28.87,212.95
20240106145012,27.3,215.0
20240106150012,25.66,217.05
20240106151012,23.98,219.11
20240106152012,22.26,221.16
20240106153012,20.49,223.21
20240106154012,18.69,225.27
20240106155012,16.85,227.32
20240106160012,14.97,229.37
20240106161012,13.07,231.42
20240106162012,11.13,233.48
