Serial,ElevationAngle,Azimuth
20240101064003,-0.12,115.81
20240101065003,1.94,117.84
20240101070003,3.97,119.87
20240101071003,5.99,121.9
20240101072003,7.99,123.92
20240101073003,9.96,125.95
20240101074003,11.91,127.98
20240101075003,13.83,130.01
20240101080003,15.72,132.04
20240101081003,17.59,134.06
20240101082003,19.41,136.09
20240101083003,21.2,138.12
20240101084003,22.95,140.15
20240101085003,24.66,142.18
20240101090003,26.32,144.2
20240101091003,27.93,146.23
20240101092003,29.49,148.26
20240101093003,30.99,150.29
20240101094003,32.42,152.32
20240101095003,33.79,154.34
20240101100003,35.08,156.37
20240101101003,36.3,158.4
20240101102003,37.43,160.43
20240101103003,38.47,162.46
20240101104003,39.42,164.49
20240101105003,40.26,166.51
20240101110003,41.0,168.54
20240101111003,41.63,170.57
20240101112003,42.15,172.6
20240101113003,42.55,174.63
20240101114003,42.82,176.65
20240101115003,42.97,178.68
20240101120003,42.99,180.71
20240101121003,42.89,182.74
20240101122003,42.67,184.77
20240101123003,42.32,186.79
20240101124003,41.85,188.82
20240101125003,41.27,190.85
20240101130003,40.57,192.88
20240101131003,39.77,194.91
20240101132003,38.86,196.93
20240101133003,37.86,198.96
20240101134003,36.76,200.99
20240101135003,35.58,203.02
20240101140003,34.32,205.05
20240101141003,32.98,207.07
20240101142003,31.57,209.1
20240101143003,30.1,211.13
20240101144003,28.56,213.16
20240101145003,26.97,215.19
20240101150003,25.33,217.22
20240101151003,23.64,219.24
20240101152003,21.91,221.27
20240101153003,20.13,223.3
20240101154003,18.32,225.33
20240101155003,16.47,227.36
20240101160003,14.59,229.38
20240101161003,12.68,231.41
20240101162003,10.75,233.44
20240101163003,8.78,235.47
20240101164003,6.79,237.5
20240101165003,4.78,239.52
20240101170003,2.75,241.55
20240101171003,0.7,243.58
20240102064003,-0.12,115.61
20240102065003,1.94,117.64
20240102070003,3.97,119.66
20240102071003,5.99,121.69
20240102072003,7.99,123.72
20240102073003,9.96,125.75
20240102074003,11.91,127.78
20240102075003,13.83,129.8
20240102080003,15.72,131.83
20240102081003,17.59,133.86
20240102082003,19.41,135.89
20240102083003,21.2,137.92
20240102084003,22.95,139.95
