Serial,ElevationAngle,Azimuth
20240101064010,-0.12,115.81
20240101065010,1.94,117.84
20240101070010,3.97,119.87
20240101071010,5.99,121.9
20240101072010,7.99,123.92
20240101073010,9.96,125.95
20240101074010,11.91,127.98
20240101075010,13.83,130.01
20240101080010,15.72,132.04
20240101081010,17.59,134.06
20240101082010,19.41,136.09
20240101083010,21.2,138.12
20240101084010,22.95,140.15
20240101085010,24.66,142.18
20240101090010,26.32,144.2
20240101091010,27.93,146.23
20240101092010,29.49,148.26
20240101093010,30.99,150.29
20240101094010,32.42,152.32
20240101095010,33.79,154.34
20240101100010,35.08,156.37
20240101101010,36.3,158.4
20240101102010,37.43,160.43
20240101103010,38.47,162.46
20240101104010,39.42,164.49
20240101105010,40.26,166.51
20240101110010,41.0,168.54
20240101111010,41.63,170.57
20240101112010,42.15,172.6
20240101113010,42.55,174.63
20240101114010,42.82,176.65
20240101115010,42.97,178.68
20240101120010,42.99,180.71
20240101121010,42.89,182.74
20240101122010,42.67,184.77
20240101123010,42.32,186.79
20240101124010,41.85,188.82
20240101125010,41.27,190.85
20240101130010,40.57,192.88
20240101131010,39.77,194.91
20240101132010,38.86,196.93
20240101133010,37.86,198.96
20240101134010,36.76,200.99
20240101135010,35.58,203.02
20240101140010,34.32,205.05
20240101141010,32.98,207.07
20240101142010,31.57,209.1
20240101143010,30.1,211.13
20240101144010,28.56,213.16
20240101145010,26.97,215.19
20240101150010,25.33,217.22
20240101151010,23.64,219.24
20240101152010,21.91,221.27
20240101153010,20.13,223.3
20240101154010,18.32,225.33
20240101155010,16.47,227.36
20240101160010,14.59,229.38
20240101161010,12.68,231.41
20240101162010,10.75,233.44
20240101163010,8.78,235.47
20240101164010,6.79,237.5
20240101165010,4.78,239.52
20240101170010,2.75,241.55
20240101171010,0.7,243.58
20240102064010,-0.12,115.61
20240102065010,1.94,117.64
20240102070010,3.97,119.66
20240102071010,5.99,121.69
20240102072010,7.99,123.72
20240102073010,9.96,125.75
20240102074010,11.91,127.78
20240102075010,13.83,129.8
20240102080010,15.72,131.83
20240102081010,17.59,133.86
20240102082010,19.41,135.89
20240102083010,21.2,137.92
20240102084010,22.95,139.95
20240102085010,24.66,141.97
20240102090010,26.32,144.0
20240102091010,27.93,146.03
20240102092010,29.49,148.06
20240102093010,30.99,150.09
20240102094010,32.42,152.11
20240102095010,33.79,154.14
20240102100010,35.08,156.17
20240102101010,36.3,158.2
20240102102010,37.43,160.23
20240102103010,38.47,162.25
20240102104010,39.42,164.28
20240102105010,40.26,166.31
20240102110010,41.0,168.34
20240102111010,41.63,170.37
20240102112010,42.15,172.39
20240102113010,42.55,174.42
20240102114010,42.82,176.45
20240102115010,42.97,178.48
20240102120010,42.99,180.51
20240102121010,42.89,182.54
20240102122010,42.67,184.56
20240102123010,42.32,186.59
20240102124010,41.85,188.62
20240102125010,41.27,190.65
