Serial,ElevationAngle(degree),Azimuth(degree)
20240101064001,-0.12,115.81
20240101065001,1.94,117.84
20240101070001,3.97,119.87
20240101071001,5.99,121.9
20240101072001,7.99,123.92
20240101073001,9.96,125.95
20240101074001,11.91,127.98
20240101075001,13.83,130.01
20240101080001,15.72,132.04
20240101081001,17.59,134.06
20240101082001,19.41,136.09
20240101083001,21.2,138.12
20240101084001,22.95,140.15
20240101085001,24.66,142.18
20240101090001,26.32,144.2
20240101091001,27.93,146.23
20240101092001,29.49,148.26
20240101093001,30.99,150.29
20240101094001,32.42,152.32
20240101095001,33.79,154.34
20240101100001,35.08,156.37
20240101101001,36.3,158.4
20240101102001,37.43,160.43
20240101103001,38.47,162.46
20240101104001,39.42,164.49
20240101105001,40.26,166.51
20240101110001,41.0,168.54
20240101111001,41.63,170.57
20240101112001,42.15,172.6
20240101113001,42.55,174.63
20240101114001,42.82,176.65
20240101115001,42.97,178.68
20240101120001,42.99,180.71
20240101121001,42.89,182.74
20240101122001,42.67,184.77
20240101123001,42.32,186.79
20240101124001,41.85,188.82
20240101125001,41.27,190.85
20240101130001,40.57,192.88
20240101131001,39.77,194.91
20240101132001,38.86,196.93
20240101133001,37.86,198.96
20240101134001,36.76,200.99
20240101135001,35.58,203.02
20240101140001,34.32,205.05
20240101141001,32.98,207.07
20240101142001,31.57,209.1
20240101143001,30.1,211.13
20240101144001,28.56,213.16
20240101145001,26.97,215.19
20240101150001,25.33,217.22
20240101151001,23.64,219.24
20240101152001,21.91,221.27
20240101153001,20.13,223.3
20240101154001,18.32,225.33
20240101155001,16.47,227.36
20240101160001,14.59,229.38
20240101161001,12.68,231.41
20240101162001,10.75,233.44
20240101163001,8.78,235.47
20240101164001,6.79,237.5
20240101165001,4.78,239.52
20240101170001,2.75,241.55
20240101171001,0.7,243.58
20240102064001,-0.12,115.61
20240102065001,1.94,117.64
20240102070001,3.97,119.66
20240102071001,5.99,121.69
20240102072001,7.99,123.72
20240102073001,9.96,125.75
20240102074001,11.91,127.78
20240102075001,13.83,129.8
20240102080001,15.72,131.83
20240102081001,17.59,133.86
20240102082001,19.41,135.89
20240102083001,21.2,137.92
20240102084001,22.95,139.95
20240102085001,24.66,141.97
20240102090001,26.32,144.0
20240102091001,27.93,146.03
20240102092001,29.49,148.06
20240102093001,30.99,150.09
20240102094001,32.42,152.11
20240102095001,33.79,154.14
20240102100001,35.08,156.17
20240102101001,36.3,158.2
20240102102001,37.43,160.23
20240102103001,38.47,162.25
20240102104001,39.42,164.28
20240102105001,40.26,166.31
20240102110001,41.0,168.34
20240102111001,41.63,170.37
20240102112001,42.15,172.39
20240102113001,42.55,174.42
20240102114001,42.82,176.45
20240102115001,42.97,178.48
20240102120001,42.99,180.51
20240102121001,42.89,182.54
20240102122001,42.67,184.56
20240102123001,42.32,186.59
20240102124001,41.85,188.62
20240102125001,41.27,190.65
20240102130001,40.57,192.68
20240102131001,39.77,194.7
20240102132001,38.86,196.73
20240102133001,37.86,198.76
20240102134001,36.76,200.79
20240102135001,35.58,202.82
20240102140001,34.32,204.84
20240102141001,32.98,206.87
20240102142001,31.57,208.9
20240102143001,30.1,210.93
20240102144001,28.56,212.96
20240102145001,26.97,214.98
20240102150001,25.33,217.01
20240102151001,23.64,219.04
20240102152001,21.91,221.07
20240102153001,20.13,223.1
20240102154001,18.32,225.12
20240102155001,16.47,227.15
20240102160001,14.59,229.18
20240102161001,12.68,231.21
20240102162001,10.75,233.24
20240102163001,8.78,235.27
20240102164001,6.79,237.29
20240102165001,4.78,239.32
20240102170001,2.75,241.35
20240102171001,0.7,243.38
20240103064001,-0.33,115.61
20240103065001,1.73,117.63
20240103070001,3.77,119.66
20240103071001,5.79,121.68
20240103072001,7.79,123.71
20240103073001,9.77,125.73
20240103074001,11.72,127.76
20240103075001,13.64,129.78
20240103080001,15.54,131.81
20240103081001,17.4,133.83
20240103082001,19.23,135.86
20240103083001,21.03,137.88
20240103084001,22.78,139.91
20240103085001,24.49,141.93
20240103090001,26.16,143.96
20240103091001,27.77,145.98
20240103092001,29.34,148.01
20240103093001,30.84,150.03
20240103094001,32.28,152.06
20240103095001,33.66,154.08
20240103100001,34.96,156.11
20240103101001,36.18,158.13
20240103102001,37.32,160.16
20240103103001,38.37,162.18
20240103104001,39.33,164.21
20240103105001,40.18,166.23
20240103110001,40.94,168.26
20240103111001,41.58,170.28
20240103112001,42.1,172.31
20240103113001,42.51,174.33
20240103114001,42.8,176.36
20240103115001,42.96,178.38
20240103120001,43.0,180.4
20240103121001,42.91,182.43
20240103122001,42.7,184.45
20240103123001,42.36,186.48
20240103124001,41.91,188.5
20240103125001,41.33,190.53
20240103130001,40.65,192.55
20240103131001,39.85,194.58
20240103132001,38.96,196.6
20240103133001,37.96,198.63
20240103134001,36.88,200.65
20240103135001,35.7,202.68
20240103140001,34.45,204.7
20240103141001,33.12,206.73
20240103142001,31.71,208.75
20240103143001,30.25,210.78
20240103144001,28.72,212.8
20240103145001,27.13,214.83
20240103150001,25.5,216.85
20240103151001,23.81,218.88
20240103152001,22.08,220.9
20240103153001,20.31,222.93
20240103154001,18.5,224.95
20240103155001,16.66,226.98
20240103160001,14.78,229.0
20240103161001,12.88,231.03
20240103162001,10.94,233.05
20240103163001,8.98,235.08
20240103164001,6.99,237.1
20240103165001,4.99,239.13
20240103170001,2.96,241.15
20240103171001,0.91,243.18
20240104064001,-0.33,115.61
20240104065001,1.73,117.63
20240104070001,3.77,119.66
20240104071001,5.79,121.68
20240104072001,7.79,123.71
20240104073001,9.77,125.73
20240104074001,11.72,127.76
20240104075001,13.64,129.78
20240104080001,15.54,131.81
20240104081001,17.4,133.83
20240104082001,19.23,135.86
20240104083001,21.03,137.88
20240104084001,22.78,139.91
20240104085001,24.49,141.93
20240104090001,26.16,143.96
20240104091001,27.77,145.98
20240104092001,29.34,148.01
20240104093001,30.84,150.03
20240104094001,32.28,152.06
20240104095001,33.66,154.08
20240104100001,34.96,156.11
20240104101001,36.18,158.13
20240104102001,37.32,160.16
20240104103001,38.37,162.18
20240104104001,39.33,164.21
20240104105001,40.18,166.23
20240104110001,40.94,168.26
20240104111001,41.58,170.28
20240104112001,42.1,172.31
20240104113001,42.51,174.33
20240104114001,42.8,176.36
20240104115001,42.96,178.38
20240104120001,43.0,180.4
20240104121001,42.91,182.43
20240104122001,42.7,184.45
20240104123001,42.36,186.48
20240104124001,41.91,188.5
20240104125001,41.33,190.53
20240104130001,40.65,192.55
20240104131001,39.85,194.58
20240104132001,38.96,196.6
20240104133001,37.96,198.63
20240104134001,36.88,200.65
20240104135001,35.7,202.68
20240104140001,34.45,204.7
20240104141001,33.12,206.73
20240104142001,31.71,208.75
20240104143001,30.25,210.78
20240104144001,28.72,212.8
20240104145001,27.13,214.83
20240104150001,25.5,216.85
20240104151001,23.81,218.88
20240104152001,22.08,220.9
20240104153001,20.31,222.93
20240104154001,18.5,224.95
20240104155001,16.66,226.98
20240104160001,14.78,229.0
20240104161001,12.88,231.03
20240104162001,10.94,233.05
20240104163001,8.98,235.08
20240104164001,6.99,237.1
20240104165001,4.99,239.13
20240104170001,2.96,241.15
20240104171001,0.91,243.18
20240105064001,-0.53,115.61
20240105065001,1.53,117.63
20240105070001,3.57,119.65
20240105071001,5.59,121.67
20240105072001,7.59,123.69
20240105073001,9.57,125.72
20240105074001,11.52,127.74
20240105075001,13.45,129.76
20240105080001,15.35,131.78
20240105081001,17.22,133.8
20240105082001,19.05,135.82
20240105083001,20.85,137.85
20240105084001,22.61,139.87
20240105085001,24.32,141.89
20240105090001,25.99,143.91
20240105091001,27.62,145.93
20240105092001,29.18,147.95
20240105093001,30.69,149.98
20240105094001,32.14,152.0
20240105095001,33.52,154.02
20240105100001,34.83,156.04
20240105101001,36.06,158.06
20240105102001,37.21,160.09
20240105103001,38.27,162.11
20240105104001,39.24,164.13
20240105105001,40.1,166.15
20240105110001,40.87,168.17
20240105111001,41.52,170.19
20240105112001,42.06,172.22
20240105113001,42.48,174.24
20240105114001,42.77,176.26
20240105115001,42.95,178.28
20240105120001,43.0,180.3
20240105121001,42.92,182.33
20240105122001,42.72,184.35
20240105123001,42.4,186.37
20240105124001,41.96,188.39
20240105125001,41.4,190.41
20240105130001,40.72,192.43
20240105131001,39.94,194.46
20240105132001,39.05,196.48
20240105133001,38.07,198.5
20240105134001,36.99,200.52
20240105135001,35.82,202.54
20240105140001,34.58,204.56
20240105141001,33.25,206.59
20240105142001,31.86,208.61
20240105143001,30.4,210.63
20240105144001,28.87,212.65
20240105145001,27.3,214.67
20240105150001,25.66,216.7
20240105151001,23.98,218.72
20240105152001,22.26,220.74
20240105153001,20.49,222.76
