Serial,ElevationAngle(degree),Azimuth(degree)
20240101064016,-0.12,115.81
20240101065016,1.94,117.84
20240101070016,3.98,119.87
20240101071016,5.99,121.9
20240101072016,7.99,123.92
20240101073016,9.96,125.95
20240101074016,11.91,127.98
20240101075016,13.83,130.01
20240101080016,15.73,132.04
20240101081016,17.59,134.06
20240101082016,19.41,136.09
20240101083016,21.2,138.12
20240101084016,22.95,140.15
20240101085016,24.66,142.18
20240101090016,26.32,144.2
20240101091016,27.93,146.23
20240101092016,29.49,148.26
20240101093016,30.99,150.29
20240101094016,32.42,152.32
20240101095016,33.79,154.34
20240101100016,35.08,156.37
20240101101016,36.3,158.4
20240101102016,37.43,160.43
20240101103016,38.47,162.46
20240101104016,39.42,164.49
20240101105016,40.26,166.51
20240101110016,41.0,168.54
20240101111016,41.63,170.57
20240101112016,42.15,172.6
20240101113016,42.55,174.63
20240101114016,42.82,176.65
20240101115016,42.97,178.68
20240101120016,42.99,180.71
20240101121016,42.89,182.74
20240101122016,42.67,184.77
20240101123016,42.32,186.79
20240101124016,41.85,188.82
20240101125016,41.27,190.85
20240101130016,40.57,192.88
20240101131016,39.77,194.91
20240101132016,38.86,196.93
20240101133016,37.86,198.96
20240101134016,36.76,200.99
20240101135016,35.58,203.02
20240101140016,34.32,205.05
20240101141016,32.98,207.07
20240101142016,31.57,209.1
20240101143016,30.1,211.13
20240101144016,28.56,213.16
20240101145016,26.97,215.19
20240101150016,25.33,217.22
20240101151016,23.64,219.24
20240101152016,21.91,221.27
20240101153016,20.13,223.3
20240101154016,18.32,225.33
20240101155016,16.47,227.36
20240101160016,14.59,229.38
20240101161016,12.68,231.41
20240101162016,10.75,233.44
20240101163016,8.78,235.47
20240101164016,6.8,237.5
20240101165016,4.79,239.52
20240101170016,2.76,241.55
20240101171016,0.71,243.58
20240102064016,-0.12,115.61
20240102065016,1.94,117.64
20240102070016,3.98,119.66
20240102071016,5.99,121.69
20240102072016,7.99,123.72
20240102073016,9.96,125.75
20240102074016,11.91,127.78
20240102075016,13.83,129.8
20240102080016,15.73,131.83
20240102081016,17.59,133.86
20240102082016,19.41,135.89
20240102083016,21.2,137.92
20240102084016,22.95,139.95
